Zipcode,afterschool.no,afterschool.yes,afterschool.unknown,City,meancapa,Part-Time,PartorFull,Full-Time,duration.fullyear,duration.schoolyear,duration.summer,duration.unknown,ncenters,allday.no,allday.yes,allday.unknown,English,Engl.unknown,Spanish,Span.unknown,French,Fren.unknown,Port,Port.unknown,Chinese,Chin.unknown,Cantonese,Cant.unknown,dropin.no,dropin.yes,dropin.unknown,openholiday.no,openholiday.yes,openholiday.unknown,emergency.no,emergency.yes,emergency.unknown
2141,6,2,8,NA,32.875,6,20,6,7,1,NA,8,16,8,NA,8,8,8,6,10,NA,16,2,14,NA,16,NA,16,6,2,8,8,NA,8,8,NA,8
2142,5,NA,3,NA,48.875,4,7,5,5,NA,NA,3,8,5,NA,3,5,3,2,6,NA,8,NA,8,NA,8,NA,8,4,1,3,5,NA,3,4,1,3
2143,16,2,7,NA,37.04,17,17,16,17,1,NA,7,25,18,NA,7,18,7,11,14,6,19,9,16,NA,25,NA,25,16,2,7,17,1,7,16,2,7
2144,6,1,1,NA,45.25,4,5,7,7,NA,NA,1,8,7,NA,1,7,1,4,4,1,7,2,6,NA,8,NA,8,7,NA,1,7,NA,1,7,NA,1
2145,15,6,8,NA,22.4137931034483,17,21,20,20,1,NA,8,29,21,NA,8,18,11,12,17,NA,29,4,25,NA,29,NA,29,17,4,8,20,1,8,17,4,8
2150,21,19,13,Chelsea,19.8490566037736,27,38,41,40,NA,NA,13,53,40,NA,13,30,23,35,18,NA,53,NA,53,NA,53,NA,53,37,3,13,39,1,13,28,12,13
2151,25,33,14,Revere,15.0972222222222,45,44,55,57,1,NA,14,72,57,1,14,50,22,32,40,7,65,3,69,NA,72,NA,72,56,2,14,54,4,14,46,12,14
2152,10,1,3,Winthrop,29.0714285714286,9,10,9,9,2,NA,3,14,11,NA,3,10,4,3,11,NA,14,NA,14,NA,14,NA,14,11,NA,3,9,2,3,10,1,3
2163,1,NA,NA,NA,82,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
2199,1,NA,NA,NA,52,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
2201,1,NA,NA,NA,54,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA
2203,1,NA,NA,NA,50,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
2210,2,NA,3,NA,64.4,NA,8,2,2,NA,NA,3,5,2,NA,3,1,4,1,4,NA,5,NA,5,NA,5,NA,5,2,NA,3,2,NA,3,2,NA,3
2215,5,NA,NA,NA,77.2,4,2,4,4,1,NA,NA,5,5,NA,NA,5,NA,3,2,1,4,1,4,NA,5,NA,5,5,NA,NA,5,NA,NA,5,NA,NA
2222,1,NA,NA,NA,40,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA
2445,10,3,5,NA,55.4444444444444,12,13,11,12,1,NA,5,18,13,NA,5,12,6,5,13,3,15,NA,18,NA,18,NA,18,12,1,5,13,NA,5,13,NA,5
2446,19,5,7,NA,53.0645161290323,16,25,21,20,4,NA,7,31,24,NA,7,19,12,10,21,1,30,1,30,NA,31,NA,31,23,1,7,23,1,7,23,1,7
2467,3,2,NA,NA,52.4,2,5,3,4,1,NA,NA,5,5,NA,NA,4,1,NA,5,NA,5,NA,5,1,4,NA,5,4,1,NA,5,NA,NA,4,1,NA
