"","NAME","laborforcechildren"
"115","Census Tract 918, Suffolk County, Massachusetts",143
"116","Census Tract 919, Suffolk County, Massachusetts",277
"117","Census Tract 920, Suffolk County, Massachusetts",460
"118","Census Tract 921.01, Suffolk County, Massachusetts",332
"119","Census Tract 922, Suffolk County, Massachusetts",182
"120","Census Tract 923, Suffolk County, Massachusetts",201
"121","Census Tract 924, Suffolk County, Massachusetts",630
"122","Census Tract 1001, Suffolk County, Massachusetts",372
"123","Census Tract 1002, Suffolk County, Massachusetts",149
"124","Census Tract 1003, Suffolk County, Massachusetts",222
"125","Census Tract 1004, Suffolk County, Massachusetts",255
"126","Census Tract 1005, Suffolk County, Massachusetts",232
"127","Census Tract 1006.01, Suffolk County, Massachusetts",336
"128","Census Tract 1006.03, Suffolk County, Massachusetts",38
"129","Census Tract 1007, Suffolk County, Massachusetts",266
"130","Census Tract 1008, Suffolk County, Massachusetts",406
"131","Census Tract 1009, Suffolk County, Massachusetts",177
"132","Census Tract 1010.01, Suffolk County, Massachusetts",488
"133","Census Tract 1010.02, Suffolk County, Massachusetts",373
"134","Census Tract 1011.01, Suffolk County, Massachusetts",153
"135","Census Tract 1011.02, Suffolk County, Massachusetts",324
"136","Census Tract 1101.03, Suffolk County, Massachusetts",355
"137","Census Tract 1102.01, Suffolk County, Massachusetts",128
"138","Census Tract 1103.01, Suffolk County, Massachusetts",198
"139","Census Tract 1104.01, Suffolk County, Massachusetts",103
"140","Census Tract 1104.03, Suffolk County, Massachusetts",322
"141","Census Tract 1105.01, Suffolk County, Massachusetts",113
"142","Census Tract 1105.02, Suffolk County, Massachusetts",471
"143","Census Tract 1106.01, Suffolk County, Massachusetts",138
"144","Census Tract 1106.07, Suffolk County, Massachusetts",285
"145","Census Tract 1201.03, Suffolk County, Massachusetts",114
"146","Census Tract 1201.04, Suffolk County, Massachusetts",109
"147","Census Tract 1201.05, Suffolk County, Massachusetts",79
"148","Census Tract 1202.01, Suffolk County, Massachusetts",243
"149","Census Tract 1203.01, Suffolk County, Massachusetts",253
"150","Census Tract 1204, Suffolk County, Massachusetts",308
"151","Census Tract 1205, Suffolk County, Massachusetts",109
"152","Census Tract 1206, Suffolk County, Massachusetts",135
"153","Census Tract 1207, Suffolk County, Massachusetts",175
"154","Census Tract 1301, Suffolk County, Massachusetts",410
